País de Origem,País de Destino,Ano,Quantidade (L),Valor (US$)
Brasil,Afeganistão,2007,0,0
Brasil,Afeganistão,2008,0,0
Brasil,Afeganistão,2009,0,0
Brasil,Afeganistão,2010,0,0
Brasil,Afeganistão,2011,0,0
Brasil,Afeganistão,2012,0,0
Brasil,Afeganistão,2013,0,0
Brasil,Afeganistão,2014,0,0
Brasil,Afeganistão,2015,0,0
Brasil,Afeganistão,2016,0,0
Brasil,Afeganistão,2017,0,0
Brasil,Afeganistão,2018,0,0
Brasil,Afeganistão,2019,0,0
Brasil,Afeganistão,2020,0,0
Brasil,Afeganistão,2021,11,46
Brasil,África do Sul,2007,0,0
Brasil,África do Sul,2008,0,0
Brasil,África do Sul,2009,0,0
Brasil,África do Sul,2010,0,0
Brasil,África do Sul,2011,0,0
Brasil,África do Sul,2012,0,0
Brasil,África do Sul,2013,0,0
Brasil,África do Sul,2014,0,0
Brasil,África do Sul,2015,0,0
Brasil,África do Sul,2016,0,0
Brasil,África do Sul,2017,0,0
Brasil,África do Sul,2018,0,0
Brasil,África do Sul,2019,26,95
Brasil,África do Sul,2020,4,21
Brasil,África do Sul,2021,0,0
Brasil,Alemanha,2007,119512,238052
Brasil,Alemanha,2008,265742,429970
Brasil,Alemanha,2009,225086,393482
Brasil,Alemanha,2010,27715,138666
Brasil,Alemanha,2011,36070,144150
Brasil,Alemanha,2012,8189,56342
Brasil,Alemanha,2013,61699,265978
Brasil,Alemanha,2014,213348,761653
Brasil,Alemanha,2015,10680,44780
Brasil,Alemanha,2016,14012,68109
Brasil,Alemanha,2017,15467,87702
Brasil,Alemanha,2018,10794,45382
Brasil,Alemanha,2019,3660,25467
Brasil,Alemanha,2020,6261,32605
Brasil,Alemanha,2021,2698,6741
Brasil,Angola,2007,25931,49753
Brasil,Angola,2008,25721,71083
Brasil,Angola,2009,54786,84235
Brasil,Angola,2010,33557,189891
Brasil,Angola,2011,13889,69001
Brasil,Angola,2012,2833,8861
Brasil,Angola,2013,1573,9300
Brasil,Angola,2014,12182,23124
Brasil,Angola,2015,1908,17089
Brasil,Angola,2016,7359,35390
Brasil,Angola,2017,10170,61680
Brasil,Angola,2018,477,709
Brasil,Angola,2019,345,1065
Brasil,Angola,2020,0,0
Brasil,Angola,2021,0,0
Brasil,Anguilla,2007,0,0
Brasil,Anguilla,2008,0,0
Brasil,Anguilla,2009,0,0
Brasil,Anguilla,2010,0,0
Brasil,Anguilla,2011,0,0
Brasil,Anguilla,2012,0,0
Brasil,Anguilla,2013,0,0
Brasil,Anguilla,2014,0,0
Brasil,Anguilla,2015,0,0
Brasil,Anguilla,2016,0,0
Brasil,Anguilla,2017,0,0
Brasil,Anguilla,2018,0,0
Brasil,Anguilla,2019,0,0
Brasil,Anguilla,2020,0,0
Brasil,Anguilla,2021,0,0
Brasil,Antígua e Barbuda,2007,0,0
Brasil,Antígua e Barbuda,2008,0,0
Brasil,Antígua e Barbuda,2009,0,0
Brasil,Antígua e Barbuda,2010,0,0
Brasil,Antígua e Barbuda,2011,0,0
Brasil,Antígua e Barbuda,2012,0,0
Brasil,Antígua e Barbuda,2013,0,0
Brasil,Antígua e Barbuda,2014,0,0
Brasil,Antígua e Barbuda,2015,0,0
Brasil,Antígua e Barbuda,2016,0,0
Brasil,Antígua e Barbuda,2017,0,0
Brasil,Antígua e Barbuda,2018,37,191
Brasil,Antígua e Barbuda,2019,219,1549
Brasil,Antígua e Barbuda,2020,624,1864
Brasil,Antígua e Barbuda,2021,805,2268
Brasil,Antilhas Holandesas,2007,17025,17949
Brasil,Antilhas Holandesas,2008,17938,22908
Brasil,Antilhas Holandesas,2009,8235,10651
Brasil,Antilhas Holandesas,2010,9810,12808
Brasil,Antilhas Holandesas,2011,7335,10188
Brasil,Antilhas Holandesas,2012,9247,14081
Brasil,Antilhas Holandesas,2013,11281,19565
Brasil,Antilhas Holandesas,2014,4455,7169
Brasil,Antilhas Holandesas,2015,6660,10545
Brasil,Antilhas Holandesas,2016,16641,26450
Brasil,Antilhas Holandesas,2017,5400,8550
Brasil,Antilhas Holandesas,2018,0,0
Brasil,Antilhas Holandesas,2019,0,0
Brasil,Antilhas Holandesas,2020,0,0
Brasil,Antilhas Holandesas,2021,0,0
Brasil,Argentina,2007,0,0
Brasil,Argentina,2008,0,0
Brasil,Argentina,2009,162,4523
Brasil,Argentina,2010,0,0
Brasil,Argentina,2011,13253,55460
Brasil,Argentina,2012,0,0
Brasil,Argentina,2013,0,0
Brasil,Argentina,2014,20385,95130
Brasil,Argentina,2015,0,0
Brasil,Argentina,2016,0,0
Brasil,Argentina,2017,0,0
Brasil,Argentina,2018,15711,59150
Brasil,Argentina,2019,0,0
Brasil,Argentina,2020,1015,4176
Brasil,Argentina,2021,6,13
Brasil,Aruba,2007,0,0
Brasil,Aruba,2008,0,0
Brasil,Aruba,2009,0,0
Brasil,Aruba,2010,0,0
Brasil,Aruba,2011,900,1680
Brasil,Aruba,2012,0,0
Brasil,Aruba,2013,0,0
Brasil,Aruba,2014,450,755
Brasil,Aruba,2015,0,0
Brasil,Aruba,2016,0,0
Brasil,Aruba,2017,0,0
Brasil,Aruba,2018,0,0
Brasil,Aruba,2019,0,0
Brasil,Aruba,2020,0,0
Brasil,Aruba,2021,0,0
Brasil,Austrália,2007,60,281
Brasil,Austrália,2008,218726,99280
Brasil,Austrália,2009,1014,9195
Brasil,Austrália,2010,1823,17960
Brasil,Austrália,2011,3632,40704
Brasil,Austrália,2012,9345,56045
Brasil,Austrália,2013,16707,101715
Brasil,Austrália,2014,6308,43709
Brasil,Austrália,2015,7437,48011
Brasil,Austrália,2016,1954,13799
Brasil,Austrália,2017,1350,7500
Brasil,Austrália,2018,2055,6902
Brasil,Austrália,2019,1161,4682
Brasil,Austrália,2020,1013,3413
Brasil,Austrália,2021,705,4034
Brasil,Áustria,2007,0,0
Brasil,Áustria,2008,0,0
Brasil,Áustria,2009,0,0
Brasil,Áustria,2010,0,0
Brasil,Áustria,2011,0,0
Brasil,Áustria,2012,0,0
Brasil,Áustria,2013,0,0
Brasil,Áustria,2014,0,0
Brasil,Áustria,2015,0,0
Brasil,Áustria,2016,675,5220
Brasil,Áustria,2017,0,0
Brasil,Áustria,2018,0,0
Brasil,Áustria,2019,0,0
Brasil,Áustria,2020,0,0
Brasil,Áustria,2021,0,0
Brasil,Bahamas,2007,0,0
Brasil,Bahamas,2008,0,0
Brasil,Bahamas,2009,0,0
Brasil,Bahamas,2010,3175,12759
Brasil,Bahamas,2011,4529,28810
Brasil,Bahamas,2012,1374,12087
Brasil,Bahamas,2013,581,5145
Brasil,Bahamas,2014,0,0
Brasil,Bahamas,2015,0,0
Brasil,Bahamas,2016,0,0
Brasil,Bahamas,2017,0,0
Brasil,Bahamas,2018,141,634
Brasil,Bahamas,2019,791,3124
Brasil,Bahamas,2020,1212,3703
Brasil,Bahamas,2021,1083,4567
Brasil,Bangladesh,2007,0,0
Brasil,Bangladesh,2008,0,0
Brasil,Bangladesh,2009,0,0
Brasil,Bangladesh,2010,0,0
Brasil,Bangladesh,2011,0,0
Brasil,Bangladesh,2012,0,0
Brasil,Bangladesh,2013,0,0
Brasil,Bangladesh,2014,0,0
Brasil,Bangladesh,2015,0,0
Brasil,Bangladesh,2016,0,0
Brasil,Bangladesh,2017,0,0
Brasil,Bangladesh,2018,0,0
Brasil,Bangladesh,2019,0,0
Brasil,Bangladesh,2020,3,29
Brasil,Bangladesh,2021,2,20
Brasil,Barbados,2007,0,0
Brasil,Barbados,2008,0,0
Brasil,Barbados,2009,0,0
Brasil,Barbados,2010,0,0
Brasil,Barbados,2011,0,0
Brasil,Barbados,2012,0,0
Brasil,Barbados,2013,0,0
Brasil,Barbados,2014,0,0
Brasil,Barbados,2015,0,0
Brasil,Barbados,2016,0,0
Brasil,Barbados,2017,0,0
Brasil,Barbados,2018,0,0
Brasil,Barbados,2019,36,394
Brasil,Barbados,2020,143,169
Brasil,Barbados,2021,216,844
Brasil,Barein,2007,0,0
Brasil,Barein,2008,0,0
Brasil,Barein,2009,0,0
Brasil,Barein,2010,0,0
Brasil,Barein,2011,0,0
Brasil,Barein,2012,0,0
Brasil,Barein,2013,0,0
Brasil,Barein,2014,0,0
Brasil,Barein,2015,0,0
Brasil,Barein,2016,0,0
Brasil,Barein,2017,0,0
Brasil,Barein,2018,0,0
Brasil,Barein,2019,482,2144
Brasil,Barein,2020,8,28
Brasil,Barein,2021,302,894
Brasil,Bélgica,2007,1077,3751
Brasil,Bélgica,2008,3523,12969
Brasil,Bélgica,2009,125962,58764
Brasil,Bélgica,2010,42532,185411
Brasil,Bélgica,2011,11802,62339
Brasil,Bélgica,2012,16132,90718
Brasil,Bélgica,2013,22461,95893
Brasil,Bélgica,2014,151320,704093
Brasil,Bélgica,2015,4473,26399
Brasil,Bélgica,2016,7200,46534
Brasil,Bélgica,2017,2790,16405
Brasil,Bélgica,2018,7497,52799
Brasil,Bélgica,2019,2498,12548
Brasil,Bélgica,2020,3166,20460
Brasil,Bélgica,2021,483,3749
Brasil,Belize,2007,0,0
Brasil,Belize,2008,0,0
Brasil,Belize,2009,0,0
Brasil,Belize,2010,0,0
Brasil,Belize,2011,0,0
Brasil,Belize,2012,0,0
Brasil,Belize,2013,0,0
Brasil,Belize,2014,0,0
Brasil,Belize,2015,0,0
Brasil,Belize,2016,0,0
Brasil,Belize,2017,0,0
Brasil,Belize,2018,0,0
Brasil,Belize,2019,9,29
Brasil,Belize,2020,0,0
Brasil,Belize,2021,0,0
Brasil,Benin,2007,0,0
Brasil,Benin,2008,10350,17423
Brasil,Benin,2009,0,0
Brasil,Benin,2010,0,0
Brasil,Benin,2011,0,0
Brasil,Benin,2012,0,0
Brasil,Benin,2013,0,0
Brasil,Benin,2014,0,0
Brasil,Benin,2015,0,0
Brasil,Benin,2016,5040,20333
Brasil,Benin,2017,0,0
Brasil,Benin,2018,0,0
Brasil,Benin,2019,9,9
Brasil,Benin,2020,0,0
Brasil,Benin,2021,0,0
Brasil,Bolívia,2007,4985,3550
Brasil,Bolívia,2008,3979,3990
Brasil,Bolívia,2009,40463,20729
Brasil,Bolívia,2010,54,282
Brasil,Bolívia,2011,12775,20215
Brasil,Bolívia,2012,11868,16804
Brasil,Bolívia,2013,19147,25998
Brasil,Bolívia,2014,12534,18303
Brasil,Bolívia,2015,10674,12990
Brasil,Bolívia,2016,13586,16902
Brasil,Bolívia,2017,9495,23085
Brasil,Bolívia,2018,21566,57424
Brasil,Bolívia,2019,0,0
Brasil,Bolívia,2020,9900,16025
Brasil,Bolívia,2021,5850,8360
Brasil,Bósnia e Herzegovina,2007,0,0
Brasil,Bósnia e Herzegovina,2008,0,0
Brasil,Bósnia e Herzegovina,2009,0,0
Brasil,Bósnia e Herzegovina,2010,0,0
Brasil,Bósnia e Herzegovina,2011,0,0
Brasil,Bósnia e Herzegovina,2012,0,0
Brasil,Bósnia e Herzegovina,2013,0,0
Brasil,Bósnia e Herzegovina,2014,0,0
Brasil,Bósnia e Herzegovina,2015,0,0
Brasil,Bósnia e Herzegovina,2016,0,0
Brasil,Bósnia e Herzegovina,2017,0,0
Brasil,Bósnia e Herzegovina,2018,0,0
Brasil,Bósnia e Herzegovina,2019,0,0
Brasil,Bósnia e Herzegovina,2020,45,52
Brasil,Bósnia e Herzegovina,2021,0,0
Brasil,Bulgária,2007,0,0
Brasil,Bulgária,2008,0,0
Brasil,Bulgária,2009,0,0
Brasil,Bulgária,2010,0,0
Brasil,Bulgária,2011,0,0
Brasil,Bulgária,2012,0,0
Brasil,Bulgária,2013,0,0
Brasil,Bulgária,2014,0,0
Brasil,Bulgária,2015,0,0
Brasil,Bulgária,2016,0,0
Brasil,Bulgária,2017,117,1579
Brasil,Bulgária,2018,0,0
Brasil,Bulgária,2019,0,0
Brasil,Bulgária,2020,0,0
Brasil,Bulgária,2021,0,0
Brasil,Cabo Verde,2007,0,0
Brasil,Cabo Verde,2008,0,0
Brasil,Cabo Verde,2009,0,0
Brasil,Cabo Verde,2010,11991,49366
Brasil,Cabo Verde,2011,600,825
Brasil,Cabo Verde,2012,0,0
Brasil,Cabo Verde,2013,0,0
Brasil,Cabo Verde,2014,0,0
Brasil,Cabo Verde,2015,0,0
Brasil,Cabo Verde,2016,0,0
Brasil,Cabo Verde,2017,0,0
Brasil,Cabo Verde,2018,18,48
Brasil,Cabo Verde,2019,0,0
Brasil,Cabo Verde,2020,0,0
Brasil,Cabo Verde,2021,16,124
Brasil,Camarões,2007,0,0
Brasil,Camarões,2008,0,0
Brasil,Camarões,2009,0,0
Brasil,Camarões,2010,0,0
Brasil,Camarões,2011,0,0
Brasil,Camarões,2012,0,0
Brasil,Camarões,2013,0,0
Brasil,Camarões,2014,0,0
Brasil,Camarões,2015,0,0
Brasil,Camarões,2016,0,0
Brasil,Camarões,2017,1749,7476
Brasil,Camarões,2018,0,0
Brasil,Camarões,2019,0,0
Brasil,Camarões,2020,0,178
Brasil,Camarões,2021,0,0
Brasil,Canadá,2007,4172,18838
Brasil,Canadá,2008,20949,80476
Brasil,Canadá,2009,15664,73445
Brasil,Canadá,2010,0,0
Brasil,Canadá,2011,28906,128076
Brasil,Canadá,2012,14304,146035
Brasil,Canadá,2013,25329,174643
Brasil,Canadá,2014,35082,226875
Brasil,Canadá,2015,24547,118394
Brasil,Canadá,2016,13711,71096
Brasil,Canadá,2017,6075,30658
Brasil,Canadá,2018,5308,20414
Brasil,Canadá,2019,1589,6933
Brasil,Canadá,2020,1672,8431
Brasil,Canadá,2021,1172,6157
Brasil,Catar,2007,0,0
Brasil,Catar,2008,0,0
Brasil,Catar,2009,0,0
Brasil,Catar,2010,0,0
Brasil,Catar,2011,0,0
Brasil,Catar,2012,0,0
Brasil,Catar,2013,0,0
Brasil,Catar,2014,0,0
Brasil,Catar,2015,0,0
Brasil,Catar,2016,0,0
Brasil,Catar,2017,13338,81606
Brasil,Catar,2018,0,0
Brasil,Catar,2019,0,0
Brasil,Catar,2020,0,0
Brasil,Catar,2021,1,2
Brasil,Ilhas Cayman,2007,0,0
Brasil,Ilhas Cayman,2008,0,0
Brasil,Ilhas Cayman,2009,0,0
Brasil,Ilhas Cayman,2010,0,0
Brasil,Ilhas Cayman,2011,0,0
Brasil,Ilhas Cayman,2012,0,0
Brasil,Ilhas Cayman,2013,0,0
Brasil,Ilhas Cayman,2014,0,0
Brasil,Ilhas Cayman,2015,0,0
Brasil,Ilhas Cayman,2016,0,0
Brasil,Ilhas Cayman,2017,0,0
Brasil,Ilhas Cayman,2018,19,203
Brasil,Ilhas Cayman,2019,19,106
Brasil,Ilhas Cayman,2020,123,339
Brasil,Ilhas Cayman,2021,104,356
Brasil,Chile,2007,60930,67353
Brasil,Chile,2008,0,0
Brasil,Chile,2009,1475,4297
Brasil,Chile,2010,0,0
Brasil,Chile,2011,0,0
Brasil,Chile,2012,8550,15438
Brasil,Chile,2013,0,0
Brasil,Chile,2014,0,0
Brasil,Chile,2015,0,0
Brasil,Chile,2016,0,0
Brasil,Chile,2017,0,0
Brasil,Chile,2018,11049,42832
Brasil,Chile,2019,0,0
Brasil,Chile,2020,11,13
Brasil,Chile,2021,26,6
Brasil,China,2007,7638,30390
Brasil,China,2008,8689,25926
Brasil,China,2009,1553416,482400
Brasil,China,2010,795,2358
Brasil,China,2011,54156,334867
Brasil,China,2012,87905,642177
Brasil,China,2013,40929,279956
Brasil,China,2014,64040,455340
Brasil,China,2015,47609,222866
Brasil,China,2016,134106,499622
Brasil,China,2017,67594,266086
Brasil,China,2018,30835,126336
Brasil,China,2019,129852,376828
Brasil,China,2020,122253,363000
Brasil,China,2021,61884,264116
Brasil,Chipre,2007,0,0
Brasil,Chipre,2008,0,0
Brasil,Chipre,2009,0,0
Brasil,Chipre,2010,0,0
Brasil,Chipre,2011,0,0
Brasil,Chipre,2012,0,0
Brasil,Chipre,2013,0,0
Brasil,Chipre,2014,0,0
Brasil,Chipre,2015,0,0
Brasil,Chipre,2016,0,0
Brasil,Chipre,2017,0,0
Brasil,Chipre,2018,279,480
Brasil,Chipre,2019,672,1843
Brasil,Chipre,2020,2478,6785
Brasil,Chipre,2021,1855,4530
Brasil,Colômbia,2007,0,0
Brasil,Colômbia,2008,0,0
Brasil,Colômbia,2009,0,0
Brasil,Colômbia,2010,0,0
Brasil,Colômbia,2011,0,0
Brasil,Colômbia,2012,0,0
Brasil,Colômbia,2013,8,30
Brasil,Colômbia,2014,0,0
Brasil,Colômbia,2015,0,0
Brasil,Colômbia,2016,0,0
Brasil,Colômbia,2017,0,0
Brasil,Colômbia,2018,6944,26273
Brasil,Colômbia,2019,897,1999
Brasil,Colômbia,2020,15660,23780
Brasil,Colômbia,2021,12160,21867
Brasil,Comores,2007,0,0
Brasil,Comores,2008,0,0
Brasil,Comores,2009,0,0
Brasil,Comores,2010,0,0
Brasil,Comores,2011,0,0
Brasil,Comores,2012,0,0
Brasil,Comores,2013,0,0
Brasil,Comores,2014,0,0
Brasil,Comores,2015,0,0
Brasil,Comores,2016,0,0
Brasil,Comores,2017,0,0
Brasil,Comores,2018,0,0
Brasil,Comores,2019,0,0
Brasil,Comores,2020,9,25
Brasil,Comores,2021,0,0
Brasil,Congo,2007,0,0
Brasil,Congo,2008,0,0
Brasil,Congo,2009,0,0
Brasil,Congo,2010,0,0
Brasil,Congo,2011,360,570
Brasil,Congo,2012,0,0
